0,0,0,1,12,1,0
0,0,0,5,148,5,0
0,0,0,10,610,10,348
0,0,0,20,721,20,138
0,0,0,50,2286,46,1173
0,0,0,100,4732,81,3011
0,0,0,1,25,1,0
0,0,0,5,234,6,56
0,0,0,10,601,10,12
0,0,0,20,971,17,214
0,0,0,50,1907,40,923
0,0,0,100,5373,74,3601
0,0,0,1,117,1,0
0,0,0,5,355,7,0
0,0,0,10,556,11,59
0,0,0,20,1057,19,164
0,0,0,50,2276,41,1221
0,0,0,100,5209,84,3391
0,0,0,1,97,1,0
0,0,0,5,251,5,0
0,0,0,10,435,10,0
0,0,0,20,713,16,300
0,0,0,50,2299,39,1157
0,0,0,100,4427,70,2801
0,0,0,1,55,1,0
0,0,0,5,211,5,0
0,0,0,10,318,9,13
0,0,0,20,813,17,343
0,0,0,50,2096,42,851
0,0,0,100,4851,64,3585
0,0,0.25,1,43,1,0
0,0,0.25,5,332,5,0
0,0,0.25,10,591,10,14
0,0,0.25,20,1016,18,405
0,0,0.25,50,2313,46,947
0,0,0.25,100,4626,63,3415
0,0,0.25,1,21,1,0
0,0,0.25,5,191,5,0
0,0,0.25,10,459,10,27
0,0,0.25,20,1050,19,334
0,0,0.25,50,2286,41,1013
0,0,0.25,100,4610,78,3345
0,0,0.25,1,16,1,0
0,0,0.25,5,157,5,0
0,0,0.25,10,275,9,18
0,0,0.25,20,803,20,106
0,0,0.25,50,2180,34,1258
0,0,0.25,100,4863,68,3427
0,0,0.25,1,19,1,0
0,0,0.25,5,222,5,0
0,0,0.25,10,525,12,42
0,0,0.25,20,1022,20,383
0,0,0.25,50,2113,39,1009
0,0,0.25,100,4568,65,3119
0,0,0.25,1,13,1,0
0,0,0.25,5,352,5,3
0,0,0.25,10,255,10,14
0,0,0.25,20,800,20,221
0,0,0.25,50,2282,46,1114
0,0,0.25,100,4532,67,3058
0,0,0.5,1,12,1,0
0,0,0.5,5,91,5,0
0,0,0.5,10,413,7,66
0,0,0.5,20,1082,19,161
0,0,0.5,50,2609,42,1595
0,0,0.5,100,4757,67,3228
0,0,0.5,1,15,1,0
0,0,0.5,5,261,5,0
0,0,0.5,10,521,12,99
0,0,0.5,20,1375,20,281
0,0,0.5,50,2674,37,1494
0,0,0.5,100,4995,64,3256
0,0,0.5,1,13,1,0
0,0,0.5,5,125,5,0
0,0,0.5,10,396,17,79
0,0,0.5,20,1017,21,238
0,0,0.5,50,2681,38,1329
0,0,0.5,100,4970,76,3354
0,0,0.5,1,62,1,0
0,0,0.5,5,311,6,0
0,0,0.5,10,381,8,86
0,0,0.5,20,1171,19,379
0,0,0.5,50,2251,34,1442
0,0,0.5,100,4964,67,3633
0,0,0.5,1,16,1,0
0,0,0.5,5,228,4,120
0,0,0.5,10,457,9,137
0,0,0.5,20,1121,20,235
0,0,0.5,50,2667,37,1535
0,0,0.5,100,4654,67,3376
0,0,0.75,1,215,1,0
0,0,0.75,5,281,4,65
0,0,0.75,10,877,12,160
0,0,0.75,20,776,16,134
0,0,0.75,50,2370,51,1207
0,0,0.75,100,4654,64,3054
